DHT_CelsiusDHT_Fahrenheit,,,Light_Level,Digital_Therm_Celsius,Digital_Therm_Fahrenheit,Digital_Value,Digital_Therm_Celsius_Half,Digital_Therm_Fahrenheit_Half
21,69.8,59,1024,40.0985,104.177,TRUE,20.04925,52.0885
20,68,67,1008,50.3111,122.56,TRUE,25.15555,61.28
15,59,89,1008,51.8028,125.245,TRUE,25.9014,62.6225
15,59,94,1040,51.4585,124.625,TRUE,25.72925,62.3125
15,59,96,992,51.229,124.212,TRUE,25.6145,62.106
15,59,98,992,50.5405,122.973,TRUE,25.27025,61.4865
None,None,None,1088,50.9996,123.799,TRUE,25.4998,61.8995
None,None,None,1088,50.1963,122.353,TRUE,25.09815,61.1765
None,None,None,1088,50.7701,123.386,TRUE,25.38505,61.693
None,None,None,1120,51.1143,124.006,TRUE,25.55715,62.003
None,None,None,1056,51.8028,125.245,TRUE,25.9014,62.6225
15,59,100,1040,51.5733,124.832,TRUE,25.78665,62.416
None,None,None,1024,52.0323,125.658,TRUE,26.01615,62.829
None,None,None,1088,50.8848,123.593,TRUE,25.4424,61.7965
None,None,None,1040,52.147,125.865,TRUE,26.0735,62.9325
None,None,None,1056,52.3765,126.278,TRUE,26.18825,63.139
None,None,None,1040,52.3765,126.278,TRUE,26.18825,63.139
None,None,None,1104,51.8028,125.245,TRUE,25.9014,62.6225
None,None,None,1056,53.1798,127.724,TRUE,26.5899,63.862
14,57.2,98,1088,54.6715,130.409,TRUE,27.33575,65.2045
14,57.2,99,1120,54.0977,129.376,TRUE,27.04885,64.688
14,57.2,97,1104,53.524,128.343,TRUE,26.762,64.1715
14,57.2,96,1040,54.5567,130.202,TRUE,27.27835,65.101
14,57.2,99,1024,54.3272,129.789,TRUE,27.1636,64.8945
14,57.2,95,1008,54.5567,130.202,TRUE,27.27835,65.101
14,57.2,96,1056,54.7863,130.615,TRUE,27.39315,65.3075
14,57.2,99,1040,55.9337,132.681,TRUE,27.96685,66.3405
14,57.2,96,1056,55.5895,132.061,TRUE,27.79475,66.0305
14,57.2,94,1088,56.1632,133.094,TRUE,28.0816,66.547
14,57.2,100,1056,56.3927,133.507,TRUE,28.19635,66.7535
14,57.2,96,1040,57.9992,136.398,TRUE,28.9996,68.199
14,57.2,95,1168,57.4254,135.366,TRUE,28.7127,67.683
14,57.2,99,1040,57.655,135.779,TRUE,28.8275,67.8895
14,57.2,97,1088,56.7369,134.126,TRUE,28.36845,67.063
13,55.4,97,1072,56.5075,133.713,TRUE,28.25375,66.8565
14,57.2,98,1040,58.2287,136.812,TRUE,29.11435,68.406
14,57.2,96,1056,56.9664,134.54,TRUE,28.4832,67.27
13,55.4,99,992,57.7697,135.985,TRUE,28.88485,67.9925
13,55.4,96,1136,57.1959,134.953,TRUE,28.59795,67.4765
None,None,None,1024,58.3435,137.018,TRUE,29.17175,68.509
13,55.4,97,1120,57.7697,135.985,TRUE,28.88485,67.9925
13,55.4,98,1184,57.4254,135.366,TRUE,28.7127,67.683
13,55.4,99,1072,58.4582,137.225,TRUE,29.2291,68.6125
13,55.4,99,1056,57.4254,135.366,TRUE,28.7127,67.683
None,None,None,1104,56.8517,134.333,TRUE,28.42585,67.1665
13,55.4,99,1008,57.3107,135.159,TRUE,28.65535,67.5795
13,55.4,99,1040,58.114,136.605,TRUE,29.057,68.3025
None,None,None,992,56.8517,134.333,TRUE,28.42585,67.1665
13,55.4,96,992,57.5402,135.572,TRUE,28.7701,67.786
13,55.4,99,1008,56.7369,134.126,TRUE,28.36845,67.063
None,None,None,928,57.655,135.779,TRUE,28.8275,67.8895
None,None,None,864,57.655,135.779,TRUE,28.8275,67.8895
None,None,None,928,57.1959,134.953,TRUE,28.59795,67.4765
13,55.4,99,832,56.3927,133.507,TRUE,28.19635,66.7535
None,None,None,688,57.4254,135.366,TRUE,28.7127,67.683
None,None,None,528,55.7042,132.268,TRUE,27.8521,66.134
None,None,None,464,55.4747,131.854,TRUE,27.73735,65.927
None,None,None,464,54.901,130.822,TRUE,27.4505,65.411
13,55.4,99,320,54.6715,130.409,TRUE,27.33575,65.2045
14,57.2,99,336,54.901,130.822,TRUE,27.4505,65.411
14,57.2,100,80,53.983,129.169,TRUE,26.9915,64.5845
14,57.2,98,256,53.065,127.517,TRUE,26.5325,63.7585
14,57.2,98,0,53.065,127.517,TRUE,26.5325,63.7585
14,57.2,100,80,52.3765,126.278,TRUE,26.18825,63.139
14,57.2,96,0,51.3438,124.419,TRUE,25.6719,62.2095
14,57.2,92,16,52.147,125.865,TRUE,26.0735,62.9325
14,57.2,90,192,52.147,125.865,TRUE,26.0735,62.9325
15,59,90,224,52.147,125.865,TRUE,26.0735,62.9325
15,59,89,224,51.9175,125.452,TRUE,25.95875,62.726
15,59,89,128,52.4913,126.484,TRUE,26.24565,63.242
15,59,92,0,50.7701,123.386,TRUE,25.38505,61.693
15,59,90,0,48.2456,118.842,TRUE,24.1228,59.421
16,60.8,85,272,50.1963,122.353,TRUE,25.09815,61.1765
15,59,83,256,50.8848,123.593,TRUE,25.4424,61.7965
